prbiotic_ID,ICD_ID,Weight
11860,5943,1
11860,5948,1
11860,5949,1
11860,5950,1
11860,5955,1
11860,5959,1
11860,5963,1
11860,5968,1
11860,5969,1
11860,5977,1
11860,5983,1
11860,5990,1
11860,5991,1
11860,5996,1
11860,6001,1
11860,6009,1
11860,6010,1
11860,6016,1
11860,6021,1
11860,6029,1
11860,6035,1
11860,6041,1
11860,6046,1
11860,6051,1
11860,6056,1
11860,6066,1
11860,6075,1
11860,6082,1
11860,6088,1
11860,6089,1
11860,6096,1
11860,6100,1
11860,6108,1
11860,6111,1
11860,6112,1
11860,6118,1
11860,6127,1
11860,6130,1
11860,6134,1
11860,6138,1
11860,6139,1
11860,6149,1
11860,6150,1
11860,6155,1
11860,6164,1
11860,6167,1
11860,6177,1
11860,6187,1
11860,6196,1
11860,6207,1
11860,6214,1
11860,6224,1
11860,6225,1
11860,6229,1
11860,6237,1
11860,6247,1
11860,6257,1
11860,6264,1
11860,6272,1
11860,6277,1
11860,6287,1
11860,6293,1
11860,6294,1
11860,6300,1
11860,6307,1
11860,5804,1
11860,5815,1
11860,5826,1
11860,5837,1
11860,5848,1
11860,5859,1
11860,5870,1
11860,5881,1
11860,5892,1
11860,5893,1
11860,5894,1
11860,5899,1
